,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.7211538461538461,0.7343173431734318,0.5189003436426117,0.7003257328990228,0.3507853403141361,0.6246355685131195,0.6050965212366097,0.65808037441868
recall,0.5487804878048781,0.7107142857142857,0.722488038277512,0.5906593406593407,0.6146788990825688,0.6246355685131195,0.6374642103077172,0.6246355685131195
f1-score,0.6232686980609419,0.7223230490018149,0.604,0.6408345752608048,0.44666666666666666,0.6246355685131195,0.6074185977980456,0.6311786238972988
support,410.0,280.0,209.0,364.0,109.0,0.6246355685131195,1372.0,1372.0
