,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.4470198675496689,0.39299610894941633,0.20921985815602837,0.6383647798742138,0.49765258215962443,0.4402332361516035,0.4370506393377903,0.47587272463988867
recall,0.41033434650455924,0.48792270531400966,0.36645962732919257,0.5205128205128206,0.3719298245614035,0.4402332361516035,0.43143186484439705,0.4402332361516035
f1-score,0.42789223454833597,0.4353448275862069,0.26636568848758463,0.5734463276836158,0.42570281124497994,0.4402332361516035,0.42575037791014464,0.45098190184014425
support,329.0,207.0,161.0,390.0,285.0,0.4402332361516035,1372.0,1372.0
