loss,accuracy,val_loss,val_accuracy
1.596198320388794,0.446609228849411,1.0196486711502075,0.6091703176498413
0.9672461748123169,0.6234544515609741,0.8246439099311829,0.6844978332519531
0.7897889614105225,0.7034469842910767,0.6884354948997498,0.7478166222572327
0.6599519848823547,0.7635818719863892,0.63162761926651,0.7576419115066528
0.5824724435806274,0.7909329533576965,0.5695592761039734,0.7762008905410767
0.5213521718978882,0.8147246241569519,0.5427660942077637,0.8002183437347412
0.4625520706176758,0.837392270565033,0.5262895226478577,0.806768536567688
0.44006961584091187,0.8422630429267883,0.5113984942436218,0.8144105076789856
0.3972600996494293,0.8638066649436951,0.5101208686828613,0.8198689818382263
0.3660695552825928,0.8718621134757996,0.44947752356529236,0.8384279608726501
0.34753239154815674,0.8742974996566772,0.4527606964111328,0.847161591053009
0.31378456950187683,0.8922817707061768,0.42673125863075256,0.8504366874694824
0.2918739914894104,0.8980891704559326,0.4410880506038666,0.8482532501220703
0.2884253263473511,0.9033345580101013,0.42535433173179626,0.8482532501220703
0.2669965326786041,0.9100787043571472,0.4584401547908783,0.8548035025596619
0.25371941924095154,0.9123266935348511,0.4110035002231598,0.864628791809082
0.22952675819396973,0.9237542152404785,0.4287489652633667,0.8515284061431885
0.22316497564315796,0.9237542152404785,0.41511568427085876,0.8613536953926086
0.1991310715675354,0.9327463507652283,0.4107682406902313,0.8635371327400208
0.19935321807861328,0.9355564117431641,0.39603400230407715,0.8657205104827881
