,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.6111111111111112,0.6145038167938931,0.7978339350180506,0.5714285714285714,0.5771144278606966,0.6355685131195336,0.6343983724424646,0.6544995596131938
recall,0.6875,0.817258883248731,0.537712895377129,0.5886287625418061,0.655367231638418,0.6355685131195336,0.6572935545612169,0.6355685131195336
f1-score,0.6470588235294118,0.7015250544662309,0.6424418604651163,0.5799011532125206,0.6137566137566137,0.6355685131195336,0.6369367010859787,0.6345643928592895
support,288.0,197.0,411.0,299.0,177.0,0.6355685131195336,1372.0,1372.0
