,0,1,2,3,4,accuracy,macro avg,weighted avg
precision,0.7284345047923323,0.6771653543307087,0.5087719298245614,0.7431192660550459,0.35233160621761656,0.6239067055393586,0.6019645322440529,0.6589995162404678
recall,0.5831202046035806,0.6640926640926641,0.6444444444444445,0.6151898734177215,0.6666666666666666,0.6239067055393586,0.6347027706450155,0.6239067055393586
f1-score,0.6477272727272727,0.6705653021442495,0.5686274509803921,0.6731301939058172,0.4610169491525424,0.6239067055393586,0.6042134337820547,0.6324993504144821
support,391.0,259.0,225.0,395.0,102.0,0.6239067055393586,1372.0,1372.0
